accession,length,kingdom,accurate_prediction,time_ms,miss_type,hit_type
238537949,8,Unknown Kingdom,True,81.32,None,TrueNeg
75765372,7,Unknown Kingdom,True,66.87,None,TrueNeg
AF452049,34,Viruses,False,68.06,FalseNeg,None
V00588,47,Eukaryota,False,72.14,FalseNeg,None
16974989,9,Unknown Kingdom,True,67.05,None,TrueNeg
2780825,12,Bacteria,True,67.34,None,TrueNeg
X72586,39,Viruses,False,69.90,FalseNeg,None
M64479,27,Viruses,False,68.37,FalseNeg,None
L22089,26,Viruses,False,67.67,FalseNeg,None
X76931,39,Viruses,False,68.47,FalseNeg,None
1000232479,22,Eukaryota,True,66.89,None,TrueNeg
2029233337,35,Eukaryota,True,68.23,None,TrueNeg
672886787,7,Unknown Kingdom,True,66.41,None,TrueNeg
187609363,23,Unknown Kingdom,True,67.19,None,TrueNeg
2612389276,6,Unknown Kingdom,True,66.49,None,TrueNeg
334359386,11,Unknown Kingdom,True,66.85,None,TrueNeg
J04374,41,Viruses,False,69.91,FalseNeg,None
34810732,6,Unknown Kingdom,True,66.30,None,TrueNeg
K01993,19,Bacteria,False,67.33,FalseNeg,None
326634449,6,Unknown Kingdom,True,66.42,None,TrueNeg
224983366,7,Eukaryota,True,66.72,None,TrueNeg
L04573,41,Viruses,False,69.75,FalseNeg,None
159795127,12,Unknown Kingdom,True,68.57,None,TrueNeg
662702211,12,Unknown Kingdom,True,67.77,None,TrueNeg
9257118,11,Unknown Kingdom,False,67.57,FalseNeg,None
1041576573,8,Unknown Kingdom,True,66.54,None,TrueNeg
973744411,8,Eukaryota,True,66.71,None,TrueNeg
AF190581,40,Viruses,False,68.51,FalseNeg,None
927774418,12,Unknown Kingdom,True,66.51,None,TrueNeg
U03387,37,Viruses,False,68.31,FalseNeg,None
J04375,40,Viruses,False,69.37,FalseNeg,None
AJ223598,41,Viruses,True,68.85,None,TruePos
1581447341,2,Bacteria,True,66.20,None,TrueNeg
AF033807,49,Viruses,False,71.29,FalseNeg,None
AF035199,42,Viruses,False,69.40,FalseNeg,None
940376663,12,Unknown Kingdom,True,67.64,None,TrueNeg
M25381,50,Viruses,False,71.96,FalseNeg,None
157879740,11,Unknown Kingdom,True,67.07,None,TrueNeg
AF018156,39,Viruses,True,70.09,None,TruePos
1059271651,8,Eukaryota,True,66.60,None,TrueNeg
158430560,13,Unknown Kingdom,True,66.65,None,TrueNeg
CY018761,49,Viruses,False,71.87,FalseNeg,None
973744410,8,Eukaryota,True,66.60,None,TrueNeg
2612389273,6,Unknown Kingdom,True,67.07,None,TrueNeg
720062920,6,Unknown Kingdom,True,67.13,None,TrueNeg
M81413,32,Viruses,False,67.71,FalseNeg,None
AF035402,40,Viruses,False,69.07,FalseNeg,None
M34077,33,Viruses,False,68.35,FalseNeg,None
576865165,8,Unknown Kingdom,False,66.33,FalseNeg,None
X72587,38,Viruses,False,68.46,FalseNeg,None
198443238,16,Unknown Kingdom,True,66.58,None,TrueNeg
AF352025,41,Viruses,False,68.35,FalseNeg,None
1130619291,10,Unknown Kingdom,True,66.73,None,TrueNeg
2281651770,4,Unknown Kingdom,True,66.81,None,TrueNeg
X12460,33,Unknown Kingdom,False,68.02,FalseNeg,None
M14707,29,Viruses,False,67.46,FalseNeg,None
M32974,20,Unknown Kingdom,False,66.86,FalseNeg,None
528082216,23,Eukaryota,True,67.47,None,TrueNeg
AJ223597,40,Viruses,True,68.57,None,TruePos
M13899,45,Eukaryota,False,71.44,FalseNeg,None
334359388,8,Unknown Kingdom,True,66.72,None,TrueNeg
U64950,50,Unknown Kingdom,False,72.61,FalseNeg,None
349587557,8,Eukaryota,True,66.29,None,TrueNeg
Y07862,45,Viruses,False,70.69,FalseNeg,None
349587563,6,Eukaryota,True,66.54,None,TrueNeg
1111652083,13,Unknown Kingdom,True,71.11,None,TrueNeg
1474892506,2,Unknown Kingdom,True,68.70,None,TrueNeg
1938910304,2,Unknown Kingdom,True,66.94,None,TrueNeg
AJ299445,34,Viruses,False,68.55,FalseNeg,None
AF033818,47,Viruses,False,69.61,FalseNeg,None
444841841,6,Unknown Kingdom,True,67.00,None,TrueNeg
2155220114,48,Unknown Kingdom,True,73.12,None,TrueNeg
5822553,7,Unknown Kingdom,True,66.91,None,TrueNeg
1209040131,10,Eukaryota,True,66.50,None,TrueNeg
2281651774,6,Unknown Kingdom,True,66.94,None,TrueNeg
M25782,39,Viruses,True,69.25,None,TruePos
M27472,46,Viruses,False,71.80,FalseNeg,None
20151199,28,Unknown Kingdom,False,67.35,FalseNeg,None
2073954629,14,Viruses,True,66.81,None,TrueNeg
695721938,5,Unknown Kingdom,True,66.93,None,TrueNeg
1474889813,6,Unknown Kingdom,True,66.53,None,TrueNeg
X52374,46,Viruses,False,72.07,FalseNeg,None
M31768,18,Viruses,True,66.91,None,TruePos
2GIS,50,Unknown Kingdom,False,72.05,FalseNeg,None
906848908,8,Unknown Kingdom,True,66.63,None,TrueNeg
AF035202,42,Viruses,False,69.67,FalseNeg,None
X54354,42,Viruses,False,70.40,FalseNeg,None
