accession,length,kingdom,accurate_prediction,time_ms,miss_type,hit_type
238537949,8,Unknown Kingdom,True,42.22,None,TrueNeg
AF452049,34,Viruses,True,105.92,None,TruePos
V00588,47,Eukaryota,False,466.00,FalseNeg,None
16974989,9,Unknown Kingdom,True,40.80,None,TrueNeg
2780825,12,Bacteria,True,46.32,None,TrueNeg
X72586,39,Viruses,False,175.99,FalseNeg,None
M64479,27,Viruses,True,54.27,None,TruePos
L22089,26,Viruses,False,53.33,FalseNeg,None
X76931,39,Viruses,False,170.79,FalseNeg,None
1000232479,22,Eukaryota,True,44.07,None,TrueNeg
2029233337,35,Eukaryota,True,111.31,None,TrueNeg
672886787,7,Unknown Kingdom,True,40.84,None,TrueNeg
187609363,23,Unknown Kingdom,True,50.52,None,TrueNeg
2612389276,6,Unknown Kingdom,True,45.12,None,TrueNeg
334359386,11,Unknown Kingdom,True,43.78,None,TrueNeg
J04374,41,Viruses,True,223.11,None,TruePos
34810732,6,Unknown Kingdom,True,40.10,None,TrueNeg
K01993,19,Bacteria,False,47.25,FalseNeg,None
326634449,6,Unknown Kingdom,True,46.34,None,TrueNeg
224983366,7,Eukaryota,True,43.59,None,TrueNeg
L04573,41,Viruses,True,221.66,None,TruePos
159795127,12,Unknown Kingdom,True,40.16,None,TrueNeg
662702211,12,Unknown Kingdom,True,45.34,None,TrueNeg
9257118,11,Unknown Kingdom,False,45.92,FalseNeg,None
1041576573,8,Unknown Kingdom,True,44.74,None,TrueNeg
973744411,8,Eukaryota,True,44.24,None,TrueNeg
AF190581,40,Viruses,True,196.61,None,TruePos
927774418,12,Unknown Kingdom,True,42.29,None,TrueNeg
U03387,37,Viruses,True,138.43,None,TruePos
J04375,40,Viruses,True,193.06,None,TruePos
AJ223598,41,Viruses,False,216.99,FalseNeg,None
1581447341,2,Bacteria,True,40.22,None,TrueNeg
AF033807,49,Viruses,True,580.36,None,TruePos
AF035199,42,Viruses,True,245.60,None,TruePos
940376663,12,Unknown Kingdom,True,40.35,None,TrueNeg
M25381,50,Viruses,True,654.76,None,TruePos
157879740,11,Unknown Kingdom,True,39.90,None,TrueNeg
AF018156,39,Viruses,True,179.48,None,TruePos
1059271651,8,Eukaryota,True,39.73,None,TrueNeg
158430560,13,Unknown Kingdom,True,44.92,None,TrueNeg
CY018761,49,Viruses,False,585.74,FalseNeg,None
973744410,8,Eukaryota,True,39.59,None,TrueNeg
2612389273,6,Unknown Kingdom,True,44.59,None,TrueNeg
M81413,32,Viruses,True,84.27,None,TruePos
AF035402,40,Viruses,True,194.21,None,TruePos
M34077,33,Viruses,True,86.75,None,TruePos
576865165,8,Unknown Kingdom,False,42.54,FalseNeg,None
X72587,38,Viruses,False,155.09,FalseNeg,None
198443238,16,Unknown Kingdom,True,40.49,None,TrueNeg
AF352025,41,Viruses,True,218.51,None,TruePos
1130619291,10,Unknown Kingdom,True,40.05,None,TrueNeg
2281651770,4,Unknown Kingdom,True,44.67,None,TrueNeg
X12460,33,Unknown Kingdom,True,91.25,None,TruePos
M14707,29,Viruses,True,61.01,None,TruePos
M32974,20,Unknown Kingdom,False,42.34,FalseNeg,None
528082216,23,Eukaryota,True,50.26,None,TrueNeg
AJ223597,40,Viruses,False,192.72,FalseNeg,None
M13899,45,Eukaryota,False,366.28,FalseNeg,None
334359388,8,Unknown Kingdom,True,40.05,None,TrueNeg
U64950,50,Unknown Kingdom,False,667.83,FalseNeg,None
349587557,8,Eukaryota,True,39.85,None,TrueNeg
Y07862,45,Viruses,False,364.28,FalseNeg,None
349587563,6,Eukaryota,True,39.94,None,TrueNeg
1111652083,13,Unknown Kingdom,True,44.78,None,TrueNeg
1474892506,2,Unknown Kingdom,True,45.45,None,TrueNeg
1938910304,2,Unknown Kingdom,True,44.63,None,TrueNeg
AJ299445,34,Viruses,True,100.02,None,TruePos
AF033818,47,Viruses,False,446.49,FalseNeg,None
2155220114,48,Unknown Kingdom,False,524.91,FalsePos,None
5822553,7,Unknown Kingdom,True,39.46,None,TrueNeg
1209040131,10,Eukaryota,True,44.73,None,TrueNeg
2281651774,6,Unknown Kingdom,True,44.65,None,TrueNeg
M25782,39,Viruses,False,175.18,FalseNeg,None
M27472,46,Viruses,False,405.82,FalseNeg,None
20151199,28,Unknown Kingdom,True,56.92,None,TruePos
2073954629,14,Viruses,True,40.11,None,TrueNeg
695721938,5,Unknown Kingdom,True,45.06,None,TrueNeg
X52374,46,Viruses,False,413.41,FalseNeg,None
