accession,length,kingdom,accurate_prediction,time_ms,miss_type,hit_type
NC_003546,70,Viruses,True,1942.95,None,TruePos
238537949,8,Unknown Kingdom,True,8.04,None,TrueNeg
75765372,7,Unknown Kingdom,True,6.71,None,TrueNeg
AJ557128,57,Viruses,True,572.85,None,TruePos
2045490163,66,Viruses,True,1279.39,None,TruePos
U68074,52,Bacteria,True,419.80,None,TruePos
AF452049,34,Viruses,True,55.98,None,TruePos
V00588,47,Eukaryota,True,268.50,None,TruePos
16974989,9,Unknown Kingdom,True,8.17,None,TrueNeg
2780825,12,Bacteria,True,6.67,None,TrueNeg
X72586,39,Viruses,True,97.49,None,TruePos
M64479,27,Viruses,True,23.57,None,TruePos
AB084788,60,Viruses,False,804.87,FalseNeg,None
L22089,26,Viruses,True,21.30,None,TruePos
X76931,39,Viruses,False,81.42,FalseNeg,None
NC_003480,65,Viruses,False,1151.51,FalseNeg,None
1000232479,22,Eukaryota,True,13.79,None,TrueNeg
GU182410,60,Viruses,False,801.02,FalseNeg,None
2029233337,35,Eukaryota,False,62.56,FalsePos,None
U27345,55,Unknown Kingdom,False,509.51,FalseNeg,None
NC_003453,63,Viruses,False,1022.20,FalseNeg,None
672886787,7,Unknown Kingdom,True,7.70,None,TrueNeg
187609363,23,Unknown Kingdom,True,13.53,None,TrueNeg
2612389276,6,Unknown Kingdom,True,6.33,None,TrueNeg
334359386,11,Unknown Kingdom,True,6.47,None,TrueNeg
J04374,41,Viruses,True,121.68,None,TruePos
453056070,67,Unknown Kingdom,False,1363.97,FalseNeg,None
34810732,6,Unknown Kingdom,True,7.97,None,TrueNeg
K01993,19,Bacteria,False,9.35,FalseNeg,None
326634449,6,Unknown Kingdom,True,6.33,None,TrueNeg
BK006878,82,Unknown Kingdom,True,3907.05,None,TruePos
224983366,7,Eukaryota,True,7.83,None,TrueNeg
X02543,60,Bacteria,False,808.90,FalseNeg,None
L04573,41,Viruses,True,121.00,None,TruePos
2QWY,52,Unknown Kingdom,True,393.00,None,TruePos
159795127,12,Unknown Kingdom,True,8.12,None,TrueNeg
AF037268,75,Viruses,True,2331.30,None,TruePos
CY014592,64,Viruses,False,1061.38,FalseNeg,None
662702211,12,Unknown Kingdom,True,8.09,None,TrueNeg
9257118,11,Unknown Kingdom,False,6.56,FalseNeg,None
1041576573,8,Unknown Kingdom,True,6.36,None,TrueNeg
973744411,8,Eukaryota,True,6.30,None,TrueNeg
AF190581,40,Viruses,True,96.94,None,TruePos
927774418,12,Unknown Kingdom,True,7.92,None,TrueNeg
JN088541,60,Viruses,False,711.08,FalseNeg,None
U03387,37,Viruses,True,78.25,None,TruePos
NC_003833,70,Viruses,True,1774.71,None,TruePos
M54993,61,Viruses,True,847.14,None,TruePos
J04375,40,Viruses,True,105.86,None,TruePos
AJ223598,41,Viruses,True,110.67,None,TruePos
NC_006568,65,Viruses,False,1196.22,FalseNeg,None
1581447341,2,Bacteria,True,7.70,None,TrueNeg
AF283103,62,Viruses,True,857.19,None,TruePos
BK006879,81,Unknown Kingdom,True,3753.05,None,TruePos
AF033807,49,Viruses,True,265.55,None,TruePos
AF035199,42,Viruses,False,135.56,FalseNeg,None
AF178440,64,Viruses,True,1114.20,None,TruePos
940376663,12,Unknown Kingdom,True,8.11,None,TrueNeg
M25381,50,Viruses,True,294.02,None,TruePos
157879740,11,Unknown Kingdom,True,8.18,None,TrueNeg
NC_008708,65,Viruses,True,1149.86,None,TruePos
J02638,67,Bacteria,True,1425.09,None,TruePos
AF018156,39,Viruses,True,94.46,None,TruePos
1059271651,8,Eukaryota,True,7.74,None,TrueNeg
158430560,13,Unknown Kingdom,True,6.96,None,TrueNeg
CY018761,49,Viruses,True,290.89,None,TruePos
973744410,8,Eukaryota,True,7.75,None,TrueNeg
D10032,62,Viruses,True,956.71,None,TruePos
X93351,72,Viruses,True,1955.18,None,TruePos
2612389273,6,Unknown Kingdom,True,7.81,None,TrueNeg
AF218039,64,Viruses,True,1098.08,None,TruePos
720062920,6,Unknown Kingdom,True,7.70,None,TrueNeg
M81413,32,Viruses,True,41.45,None,TruePos
M11841,52,Viruses,True,350.99,None,TruePos
AJ557129,57,Viruses,True,576.44,None,TruePos
AF035402,40,Viruses,True,107.40,None,TruePos
M26927,61,Viruses,True,852.24,None,TruePos
M34077,33,Viruses,True,50.76,None,TruePos
M33854,73,Viruses,True,1949.87,None,TruePos
576865165,8,Unknown Kingdom,False,7.82,FalseNeg,None
X72587,38,Viruses,True,87.01,None,TruePos
M29095,84,Viruses,True,3835.45,None,TruePos
198443238,16,Unknown Kingdom,True,9.12,None,TrueNeg
NC_001437,57,Viruses,True,639.38,None,TruePos
AF183905,67,Viruses,True,1337.91,None,TruePos
AF352025,41,Viruses,True,106.21,None,TruePos
1130619291,10,Unknown Kingdom,True,7.91,None,TrueNeg
NC_001452,68,Viruses,True,1413.88,None,TruePos
BK006885,63,Unknown Kingdom,True,1068.33,None,TruePos
2281651770,4,Unknown Kingdom,True,7.74,None,TrueNeg
AJ006464,66,Eukaryota,True,1205.17,None,TruePos
X12460,33,Unknown Kingdom,True,52.62,None,TruePos
M14707,29,Viruses,True,34.27,None,TruePos
M32974,20,Unknown Kingdom,False,11.80,FalseNeg,None
528082216,23,Eukaryota,True,15.52,None,TrueNeg
4QK9_A,75,Unknown Kingdom,False,2407.85,FalseNeg,None
AJ223597,40,Viruses,True,99.41,None,TruePos
M13899,45,Eukaryota,False,223.99,FalseNeg,None
334359388,8,Unknown Kingdom,True,7.79,None,TrueNeg
AF339486,70,Viruses,True,1742.61,None,TruePos
U64950,50,Unknown Kingdom,False,330.62,FalseNeg,None
349587557,8,Eukaryota,True,7.82,None,TrueNeg
Y07862,45,Viruses,True,194.62,None,TruePos
349587563,6,Eukaryota,True,7.71,None,TrueNeg
1111652083,13,Unknown Kingdom,True,6.73,None,TrueNeg
NC_000913,64,Bacteria,True,1109.86,None,TruePos
1474892506,2,Unknown Kingdom,True,7.86,None,TrueNeg
1938910304,2,Unknown Kingdom,True,6.33,None,TrueNeg
J02415,67,Viruses,True,1406.67,None,TruePos
BK006895,67,Viruses,True,1330.33,None,TruePos
AJ299445,34,Viruses,True,58.53,None,TruePos
U17391,60,Viruses,False,817.96,FalseNeg,None
AF033818,47,Viruses,False,196.62,FalseNeg,None
444841841,6,Unknown Kingdom,True,7.76,None,TrueNeg
2155220114,48,Unknown Kingdom,False,297.28,FalsePos,None
5822553,7,Unknown Kingdom,True,7.80,None,TrueNeg
1209040131,10,Eukaryota,True,6.60,None,TrueNeg
J01998,62,Viruses,True,905.48,None,TruePos
M16632,55,Viruses,True,523.44,None,TruePos
